PAPER,Eyes Open/Closed/Fixated,Scanning parameters (TR),Duration of scan,Preprocessing Software,Global signal regression,Motion regression,White matter regression,CSF regression,Tesla ,Manufacterer,Coil Channel,Sequences Collected?,# of Slices,Slice Thickness,Voxel Size,
"Arenivas (2014) Dallas, TX",fixated,2000 ms,128 volumes,SPM5,yes,yes,yes,yes,3 Tesla,(2) Siemens Trio or GE,-,"T2 Gradient-echo, echo-planar sequence",36,3.5,-,single-shot
"Dailey (2018) AZ, USA",fixated,2000 ms,300 volumes,SPM12 in MATLAB,no,no,no,no,3 Tesla,Siemens Skyra,32 channel,"T2 Gradient-echo, echo-planar sequence",32,-,2.5 x 2.5 x 2.5,
"Palacios (2013) Barcelona, Spain",unfound,2000 ms,300 s,FSL and AFNI,unfound,unfound,unfound,unfound,3 Tesla,Siemens Trio,-,"T2 Gradient-echo, echo-planar sequence",-,-,1.7 x 1.7 x 3.0,single-shot
"Venkatesan (2015), PN, USA",fixated,2000 ms,150-180 volumes,SPM8,no,yes,yes,yes,3 Tesla,(2) Siemens Trio or Philips,6 channel,"T2 Gradient-echo, echo-planar sequence",34 or 35,4,-,
"Zhou (2012) New York, NY",closed,2000 ms,306 s,"FMRIB, RSL, AFNI",yes,yes,yes,yes,3 Tesla,Siemens Trio,12 channel,"T2 Gradient-echo, echo-planar sequence",-,5,-,
"Zhang (2017) Shanghai, China",unfound,2000 ms,unfound,AFNI,no,yes,yes,yes,3 Tesla,Siemens Verio,-,"T2 Gradient-echo, echo-planar sequence",33,4,,
"Rigon (2016) IA, USA",closed,2000 ms,360 s,FSL,yes,yes,yes,yes,3 Tesla,Siemens Trio,12 channel,"T2 Gradient-echo, echo-planar sequence",31,3.5,3.4 x 3.4 x 3.5,dual-echo fast
"Guo (2019), China",unfound,2000 ms,360 s,MATLAB (DPARSFA 2.3 toolbox [has SPM8] amd REST V1.8]),no,yes,yes,yes,3 Tesla,Siemens Verio,8 channel,"T2 Gradient-echo, echo-planar sequence",32,3.5,-,
"Grossner (2019), Pennsylvania, USA",fixated,2000 ms,600 s,SPM8,no,no,yes,yes,3 Tesla,Siemens Trio,-,"T2 Gradient-echo, echo-planar sequence",-,-,3.0 x 3.0 x 4.0,
"Lancaster (2019) NJ, USA",closed,2000 ms,360 s,SPM8,no,no,yes,yes,3 Tesla,Siemens Skyra,-,"T2 Gradient-echo, echo-planar sequence",32,3,2.3 x 2.3 x 3.0,
